Region,Name,Party,YOB,Kurdish,English,Arabic,Farsi,Armenian,French,German,Year,Parliament
"ADANA
",Abdullah Faik Efendi1(Abdullah Çopuroğlu),,1857,0,0,1,0,0,0,0,1920 - 1923,1
"ADANA
",Dr. Eşref Bey (AKMAN),,1862,0,0,0,0,0,1,0,1920 - 1923,1
"ADANA
",İbrahim Bey3,,,0,0,0,0,0,0,0,1920 - 1923,1
"ADANA
",Mehmet Hamdi Efendi4 (Mehmet İZGİ),,1878,0,0,1,1,0,0,0,1920 - 1923,1
"ADANA
",Tevfik Bey5,,,0,0,0,0,0,0,0,1920 - 1923,1
"ADANA
",Zamir Bey6 (Damar ARIKOĞLU),,1887,0,0,0,0,0,0,1,1920 - 1923,1
"ADANA
",Zekâi Bey8 (Aziz Zekâi APAYDIN),,1877,0,0,0,0,0,1,0,1920 - 1923,1
"AMASYA
",Ali Bey (Ali Rıza TOPÇU),,1868,0,0,1,1,0,0,0,1920 - 1923,1
"AMASYA
",Ali Rıza Efendi (ÖZDARENDE),,1876,0,0,1,1,0,0,0,1920 - 1923,1
"AMASYA
",Dr. Asım Bey (SİREL),,1876,0,0,0,0,0,1,0,1920 - 1923,1
"AMASYA
",Bekir Sami Bey10 (Bekir KUNDUK),,1864,0,1,0,1,0,1,0,1920 - 1923,1
"AMASYA
",Hamdi Bey12 (Ahmet Hamdi APAYDIN),,1862,0,0,1,1,0,0,0,1920 - 1923,1
"AMASYA
",Mehmet Ragıb Bey  (TOPALA),,1876,0,0,0,1,0,0,0,1920 - 1923,1
"AMASYA
",Ömer Lütfi Bey (YASAN),,1879,0,0,0,0,0,1,0,1920 - 1923,1
"ANKARA
",Ahmet Rüstem Bey13,,1863,0,1,1,1,0,1,1,1920 - 1923,1
"ANKARA
",Ali Fuat Paşa (CEBESOY),,1882,0,0,0,0,0,1,1,1920 - 1923,1
"ANKARA
",Hacı Atıf Efendi15 (TAŞPINAR),,1858,0,0,0,0,0,0,0,1920 - 1923,1
"ANKARA
",Hacı Mustafa Efendi16(Mustafa BEYNAM),,1866,0,0,1,1,0,0,0,1920 - 1923,1
"ANKARA
",Hilmi Bey18(Mustafa Hilmi ÇAYIRLIOĞLU),,1867,0,0,0,0,0,0,0,1920 - 1923,1
"ANKARA
",Mustafa Kemal Paşa(Gazi Mustafa Kemal Paşa ATATÜRK),,1881,0,0,0,0,0,1,0,1920 - 1923,1
"ANKARA
",Ömer Mümtaz Bey19 (TANBİ),,1859,0,0,0,0,0,0,0,1920 - 1923,1
"ANKARA
",Şakir Bey (KINACI) ,,1875,0,0,0,0,0,0,0,1920 - 1923,1
"ANKARA
",Şemsettin Efendi (BAYRAMOĞLU),,1884,0,0,0,0,0,0,0,1920 - 1923,1
"ANTALYA
",Ali Vefa Bey (SEYHANLI),,1873,0,0,1,0,0,0,0,1920 - 1923,1
"ANTALYA
",Halil İbrahim Bey (ÖZKAYA),,1892,0,0,0,0,0,1,0,1920 - 1923,1
"ANTALYA
",Hamdullah Suphi Bey (TANRIÖVER),,1885,0,0,0,0,0,1,0,1920 - 1923,1
"ANTALYA
",Hasan Tahsin Bey21 (Hasan SÜRENKÖK),,1869,0,0,0,0,0,0,0,1920 - 1923,1
"ANTALYA
",Mustafa Bey22 (EBRİŞİMOĞLU),,1875,0,0,0,0,0,0,0,1920 - 1923,1
"ANTALYA
",Rasih Efendi23 (Mehmet Rasih KAPLAN),,1883,0,0,1,0,0,0,0,1920 - 1923,1
"ARDAHAN
",Hilmi Bey24,,1885,0,0,0,0,0,0,0,1920 - 1923,1
"ARDAHAN
",Osman Server Bey26(Server AHİSKAATABEKOĞULLARI),,1886,0,1,0,0,0,1,1,1920 - 1923,1
"AYDIN
",Ahmet Şükrü Efendi(Ahmet YAVUZYILMAZ),,1865,0,0,1,0,0,0,0,1920 - 1923,1
"AYDIN
",Cami Bey (Abdülkâdir Cami BAYKURT) ,,1877,0,0,0,0,0,0,0,1920 - 1923,1
"AYDIN
",Emin Efendi28 (ERKUT),,1873,0,0,1,1,0,0,0,1920 - 1923,1
"AYDIN
",Esat Efendi29 (Mehmet Esat İLERİ),,1882,0,0,0,1,0,0,0,1920 - 1923,1
"AYDIN
","Dr. Mazhar Bey (GERMEN)Aydın - 1884, (Hacı) Mehmet (Emin) - Nihat - İstanbul Mekteb-i",,,0,0,0,0,0,1,0,1920 - 1923,1
"AYDIN
",Sadık Bey30 (SULTANOĞLU),,1874,0,0,0,0,0,0,0,1920 - 1923,1
"AYDIN
",Tahsin Bey31 (Hasan Tahsin SAN),,1865,0,0,0,0,0,0,0,1920 - 1923,1
"AYINTAB
",Abdurrahman Lami Efendi (ERSOY),,1875,0,0,1,0,0,0,0,1920 - 1923,1
"AYINTAB
",Ali Cenani Bey (Mehmet Ali CENANİ),,1872,0,1,1,1,0,0,0,1920 - 1923,1
"AYINTAB
",Hafız Şahin Efendi35(Hafız Memet ŞAHİN),,1877,0,0,0,0,0,0,0,1920 - 1923,1
"AYINTAB
",Kılıç Ali Bey36 (Ali KILIÇ),,1890,0,0,0,0,0,0,0,1920 - 1923,1
"AYINTAB
",Ragıp Bey (YOĞUN),,1878,0,0,1,0,0,0,0,1920 - 1923,1
"AYINTAB
",Yasin Bey (Mehmet Yasin Sani KUTLUĞ),,1889,0,0,0,0,0,0,0,1920 - 1923,1
"BATUM
",Ahmet Fevzi Efendi (ERDEM),,1885,0,0,0,0,0,0,0,1920 - 1923,1
"BATUM
",Ahmet Nureddin (Nuri) Efendi39,,1887,0,0,0,0,0,0,0,1920 - 1923,1
"BATUM
",Akif Bey (Ahmet Akif SUNER),,1876,0,0,0,0,0,0,0,1920 - 1923,1
"BATUM
",Ali Rıza Efendi (ACARA),,1879,0,0,0,0,0,0,0,1920 - 1923,1
"BATUM
",Edip Bey (Mehmed Edip DİNÇ),,1885,0,0,0,0,0,0,0,1920 - 1923,1
"BAYAZIT
",Atıf Bey (Mehmet Atıf BAYAZIT),,1882,0,0,1,1,0,1,0,1920 - 1923,1
"BAYAZIT
",Hacı Mehmet Efendi40 (ÖNAY),,1844,0,0,1,1,0,0,0,1920 - 1923,1
"BAYAZIT
",Dr. Refik Bey41 (İbrahim Refik SAYDAM),,1881,0,0,0,0,0,0,1,1920 - 1923,1
"BAYAZIT
",Süleyman Sudi Bey (ACARBAY),,1866,0,0,0,0,0,0,0,1920 - 1923,1
"BAYAZIT
",Şevket Bey (BEYAZİT),,1883,0,0,1,1,0,0,0,1920 - 1923,1
"BİGA
",Hafız Hamdi Bey42(Ahmet Hamdi DUMRUL),,1879,0,0,0,0,0,0,0,1920 - 1923,1
"BİGA
",Hamit Bey(Hamdi Hamit KARAOSMANOĞLU),,1886,0,0,0,0,0,0,0,1920 - 1923,1
"BİGA
",Mehmet Bey43 (DİNÇ),,1873,0,0,0,1,0,0,0,1920 - 1923,1
"BİTLİS
",Arif Bey (Arif Hikmet ÖZDEMİR),,1885,0,0,0,0,0,1,0,1920 - 1923,1
"BİTLİS
",Derviş Bey44 (SEVÜNÇ),,1876,0,0,0,0,0,0,0,1920 - 1923,1
